rpm,real_w,speed,target_current,real_pos,pos,I6,I7
-0.197419,0.087002,9.830070,0.003338,-0.001280,-0.012767,0.000000,0.000000
-0.197478,0.087045,9.829910,-0.003054,0.008307,-0.018093,0.000000,0.000000
-0.197475,0.086991,9.829795,0.011860,0.006177,-0.009571,0.000000,0.000000
-0.197447,0.086989,9.829693,-0.009445,0.006177,-0.006375,0.000000,0.000000
-0.197391,0.086935,9.829527,0.013991,-0.000215,0.002147,0.000000,0.000000
-0.197260,0.086886,9.829272,-0.005184,0.006177,0.005343,0.000000,0.000000
-0.197175,0.086890,9.828979,0.002273,0.012568,-0.006375,0.000000,0.000000
-0.197193,0.086837,9.828763,-0.017967,0.007242,0.004277,0.000000,0.000000
-0.197306,0.086719,9.828633,0.009729,0.007242,-0.010636,0.000000,0.000000
-0.197446,0.086746,9.828565,0.027839,0.013633,-0.001049,0.000000,0.000000
-0.197634,0.086770,9.828517,-0.000923,0.011503,0.005343,0.000000,0.000000
-0.197762,0.086807,9.828389,0.002273,0.001916,-0.009571,0.000000,0.000000
-0.198074,0.086815,9.828288,-0.006249,-0.014063,0.023452,0.000000,0.000000
-0.198475,0.086800,9.828299,0.012925,0.015764,-0.003180,0.000000,0.000000
-0.198930,0.086881,9.828212,0.026774,0.028547,-0.007441,0.000000,0.000000
-0.199392,0.087047,9.828211,0.008664,0.008307,-0.017028,0.000000,0.000000
-0.199906,0.087219,9.828143,0.021447,0.011503,0.004277,0.000000,0.000000
-0.200258,0.087332,9.828165,0.004403,-0.001280,0.001081,0.000000,0.000000
-0.200625,0.087309,9.828216,-0.007315,-0.004476,0.001081,0.000000,0.000000
-0.201052,0.087397,9.828383,-0.004119,-0.000215,-0.003180,0.000000,0.000000
-0.201511,0.087518,9.828527,0.022513,0.009372,0.005343,0.000000,0.000000
-0.201968,0.087628,9.828744,-0.008380,0.009372,-0.010636,0.000000,0.000000
-0.202399,0.087631,9.829019,-0.013706,-0.003411,0.004277,0.000000,0.000000
-0.202806,0.087642,9.829302,0.000142,-0.017259,-0.002114,0.000000,0.000000
-0.203169,0.087524,9.829531,-0.011576,-0.023651,-0.013832,0.000000,0.000000
-0.203464,0.087273,9.829795,-0.004119,0.027482,0.001081,0.000000,0.000000
-0.203683,0.087149,9.830089,0.002273,0.037069,0.005343,0.000000,0.000000
-0.203860,0.086989,9.830283,0.008664,0.008307,-0.007441,0.000000,0.000000
-0.204072,0.086888,9.830513,0.010795,0.013633,-0.002114,0.000000,0.000000
-0.204246,0.086785,9.830664,-0.005184,-0.000215,-0.001049,0.000000,0.000000
-0.204455,0.086640,9.830714,0.017186,-0.007672,-0.006375,0.000000,0.000000
-0.204554,0.086530,9.830761,-0.007315,0.001916,0.003212,0.000000,0.000000
-0.204609,0.086484,9.830829,0.002273,0.023221,-0.004245,0.000000,0.000000
-0.204596,0.086533,9.830956,-0.006249,-0.005541,0.002147,0.000000,0.000000
-0.204631,0.086452,9.831070,0.004403,0.009372,-0.009571,0.000000,0.000000
-0.204726,0.086406,9.831210,0.000142,0.006177,0.004277,0.000000,0.000000
-0.204755,0.086316,9.831300,0.007599,-0.012998,-0.002114,0.000000,0.000000
-0.204900,0.086202,9.831481,0.018252,0.012568,-0.001049,0.000000,0.000000
-0.204970,0.086121,9.831546,-0.008380,-0.002346,0.001081,0.000000,0.000000
-0.205002,0.086079,9.831692,0.004403,0.002981,-0.006375,0.000000,0.000000
-0.204947,0.086127,9.831736,0.000142,0.006177,-0.001049,0.000000,0.000000
-0.204940,0.086064,9.831890,-0.000923,0.011503,-0.015963,0.000000,0.000000
-0.204863,0.086076,9.831938,0.003338,0.012568,-0.006375,0.000000,0.000000
-0.204802,0.086184,9.831894,0.007599,-0.010868,-0.002114,0.000000,0.000000
-0.204687,0.086247,9.831795,0.010795,0.028547,0.001081,0.000000,0.000000
-0.204675,0.086317,9.831745,0.002273,0.023221,-0.012767,0.000000,0.000000
-0.204605,0.086333,9.831765,0.007599,0.018960,-0.002114,0.000000,0.000000
-0.204565,0.086351,9.831756,-0.003054,0.004046,-0.014898,0.000000,0.000000
-0.204578,0.086363,9.831726,-0.001988,0.001916,0.013865,0.000000,0.000000
-0.204728,0.086453,9.831598,-0.013706,-0.006607,0.009604,0.000000,0.000000
-0.204892,0.086590,9.831534,-0.009445,0.013633,0.007473,0.000000,0.000000
-0.205066,0.086709,9.831484,0.003338,0.012568,0.004277,0.000000,0.000000
-0.205260,0.086818,9.831441,0.017186,0.002981,-0.003180,0.000000,0.000000
-0.205280,0.086831,9.831361,0.001207,0.021090,0.006408,0.000000,0.000000
-0.205364,0.086828,9.831234,0.000142,0.010438,0.012799,0.000000,0.000000
-0.205382,0.086741,9.831108,-0.004119,0.016829,-0.005310,0.000000,0.000000
-0.205438,0.086620,9.830942,-0.004119,0.002981,0.004277,0.000000,0.000000
-0.205435,0.086582,9.830898,0.024643,0.030678,0.021321,0.000000,0.000000
-0.205483,0.086578,9.830990,0.020382,0.006177,0.001081,0.000000,0.000000
